"UF;CIDADE;UNIDADE;ENDEREÇO;URL";
"PE;RECIFE;AFOGADOS; Rua São Miguel, 176;https://evo-totem.w12app.com.br/selfit/257/site/landing-page/checkout/15565/0";
"CE;FORTALEZA;ALDEOTA; Rua Eduardo Garcia, 300;https://evo-totem.w12app.com.br/selfit/252/site/landing-page/checkout/15560/0";
"SP;SÃO PAULO;ARAPANÉS; Alameda dos Arapanés, 685;https://admin.selfitacademias.com.br/selfit/207/site/landing-page/checkout/15541/0";
"RJ;RIO DE JANEIRO;BARÃO DE ITAMBI; Rua Barão de Itambi, 50;https://evo-totem.w12app.com.br/selfit/206/site/landing-page/checkout/15540/0";
"BA;SALVADOR;BARRA; Rua Augusto Frederico Schmith, 95;https://evo-totem.w12app.com.br/selfit/104/site/landing-page/checkout/15488/0";
"BA;SALVADOR;BARRA HALL; Rua César Zama, 316;https://evo-totem.w12app.com.br/selfit/125/site/landing-page/checkout/15506/0";
"PB;JOÃO PESSOA;BESSA;R. Bacharel Jose de Oliveira Curchatuz, s/n - loja 068;https://evo-totem.w12app.com.br/selfit/260/site/landing-page/checkout/15568/0";
"CE;FORTALEZA;BEZERRA DE MENEZES; Av. Bezerra de Menezes, 1811;https://evo-totem.w12app.com.br/selfit/143/site/landing-page/checkout/15521/0";
"PE;RECIFE;BOA VIAGEM; Rua Visconde de Jequitinhonha, 2314;https://evo-totem.w12app.com.br/selfit/240/site/landing-page/checkout/15549/0";
"PE;RECIFE;BOA VIAGEM II; Rua Bruno Veloso, 528;https://evo-totem.w12app.com.br/selfit/240/site/landing-page/checkout/15549/0";
"BA;VITÓRIA DA CONQUISTA;BOULEVARD SHOPPING; Av. Olivia Flores, 2500;https://evo-totem.w12app.com.br/selfit/164/site/landing-page/checkout/15532/0";
"MA;SÃO LUÍS;BOULEVARD TROPICAL;Av. Colares Moreira, 400;https://evo-totem.w12app.com.br/selfit/124/site/landing-page/checkout/15505/0";
"BA;SALVADOR;CAMINHO DAS ÁRVORES;Alameda das Cajazeiras, 59;https://evo-totem.w12app.com.br/selfit/262/site/landing-page/checkout/15570/0";
"PB;CAMPINA GRANDE;CAMPINA GRANDE; Rua Dr. Severino Cruz, 771;https://evo-totem.w12app.com.br/selfit/130/site/landing-page/checkout/15510/0";
"SP;SOROCABA;CAMPOLIM; Rua Maria Aparecida Pessitti Milego, 250;https://evo-totem.w12app.com.br/selfit/146/site/landing-page/checkout/15523/0";
"SP;CARAPICUÍBA;CARAPICUÍBA; Av. Des. Eduardo de Abreu, 1455;https://admin.selfitacademias.com.br/selfit/149/site/landing-page/checkout/15525/0";
"SP;JUNDIAÍ;CARREFOUR JUNDIAÍ; Av. Profa. Maria do Carmo Guimaraes;https://evo-totem.w12app.com.br/selfit/162/site/landing-page/checkout/15530/0";
"PE;RECIFE;CARUARU; Av. Oswaldo Cruz, 217;https://evo-totem.w12app.com.br/selfit/109/site/landing-page/checkout/15491/0";
"PE;RECIFE;CASA AMARELA;R. Desembargador Gois Cavalcante, 12;https://evo-totem.w12app.com.br/selfit/261/site/landing-page/checkout/15569/0";
"PE;OLINDA;CASA CAIADA;Av Gov.Cralos de Lima Cavalcante,1306;https://evo-totem.w12app.com.br/selfit/270/site/landing-page/checkout/15578/0";
"MG;BELO HORIZONTE;CIDADE JARDIM; Rua Iraí, 235;https://evo-totem.w12app.com.br/selfit/138/site/landing-page/checkout/15517/0";
"SP;SÃO JOSÉ DOS CAMPOS;COLINAS; Av. Jorge Zarur, 100;https://evo-totem.w12app.com.br/selfit/140/site/landing-page/checkout/15518/0";
"RJ;RIO DE JANEIRO;CONDE DE BONFIM; Rua Conde de Bonfim, 186;https://evo-totem.w12app.com.br/selfit/201/site/i%5BPLUS%5D0qGeaytuJiOBpWXvZNgA%5BEQUAL%5D%5BEQUAL%5D";
"BA;SALVADOR;COSTA AZUL; Rua Adelaide Fernandes da Costa, 903;https://evo-totem.w12app.com.br/selfit/117/site/y1Ce2URCFqfuU9VS0qfVpw%5BEQUAL%5D%5BEQUAL%5D";
"MA;SÃO LUIS;DANIEL DE LA TOUCHE; Av. Daniel de la Touche, 01;https://evo-totem.w12app.com.br/selfit/202/site/landing-page/checkout/15536/0";
"CE;FORTALEZA;DOM LUIS;Av. Dom Luís, 1200;https://evo-totem.w12app.com.br/selfit/128/site/landing-page/checkout/15508/0";
"PB;JOÃO PESSOA;EPITÁCIO PESSOA;Av. Epitacio Pessoa, 3001;https://evo-totem.w12app.com.br/selfit/108/site/landing-page/checkout/15490/0";
"MT;CUIABÁ;ESTAÇÃO CUIABÁ; Av. Miguel Sutil, 9300;https://evo-totem.w12app.com.br/selfit/227/site/landing-page/checkout/15544/0";
"BA;FEIRA DE SANTANA ;FEIRA DE SANTANA; Rua Cel. José Pinto dos Santos, S/N;https://evo-totem.w12app.com.br/selfit/120/site/landing-page/checkout/15501/0";
"SP;RIO PRETO;GLICERIO;R. Gen. Glicério, 3733 ;https://evo-totem.w12app.com.br/selfit/156/site/landing-page/checkout/15526/0";
"CE;FORTALEZA;GODOFREDO MACIEL; Av. Godofredo Maciel, 4035;https://evo-totem.w12app.com.br/selfit/259/site/cKXaN4HqE9Q9pQDLIzDafQ%5BEQUAL%5D%5BEQUAL%5D";
"MA;SÃO LUIS;GOLDEN SHOPPING; Av. dos Holandesesm 200;https://evo-totem.w12app.com.br/selfit/133/site/landing-page/checkout/15513/0";
