"UF;CIDADE;UNIDADE;ENDEREÇO;URL"
"PE;RECIFE;AFOGADOS; RUA SÃO MIGUEL, 176;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/257/SITE/LANDING-PAGE/CHECKOUT/15565/0"
"CE;FORTALEZA;ALDEOTA; RUA EDUARDO GARCIA, 300;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/252/SITE/LANDING-PAGE/CHECKOUT/15560/0"
"SP;SÃO PAULO;ARAPANÉS; ALAMEDA DOS ARAPANÉS, 685;HTTPS://ADMIN.SELFITACADEMIAS.COM.BR/SELFIT/207/SITE/LANDING-PAGE/CHECKOUT/15541/0"
"RJ;RIO DE JANEIRO;BARÃO DE ITAMBI; RUA BARÃO DE ITAMBI, 50;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/206/SITE/LANDING-PAGE/CHECKOUT/15540/0"
"BA;SALVADOR;BARRA; RUA AUGUSTO FREDERICO SCHMITH, 95;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/104/SITE/LANDING-PAGE/CHECKOUT/15488/0"
"BA;SALVADOR;BARRA HALL; RUA CÉSAR ZAMA, 316;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/125/SITE/LANDING-PAGE/CHECKOUT/15506/0"
"PB;JOÃO PESSOA;BESSA;R. BACHAREL JOSE DE OLIVEIRA CURCHATUZ, S/N - LOJA 068;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/260/SITE/LANDING-PAGE/CHECKOUT/15568/0"
"CE;FORTALEZA;BEZERRA DE MENEZES; AV. BEZERRA DE MENEZES, 1811;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/143/SITE/LANDING-PAGE/CHECKOUT/15521/0"
"PE;RECIFE;BOA VIAGEM; RUA VISCONDE DE JEQUITINHONHA, 2314;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/240/SITE/LANDING-PAGE/CHECKOUT/15549/0"
"PE;RECIFE;BOA VIAGEM II; RUA BRUNO VELOSO, 528;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/240/SITE/LANDING-PAGE/CHECKOUT/15549/0"
"BA;VITÓRIA DA CONQUISTA;BOULEVARD SHOPPING; AV. OLIVIA FLORES, 2500;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/164/SITE/LANDING-PAGE/CHECKOUT/15532/0"
"MA;SÃO LUÍS;BOULEVARD TROPICAL;AV. COLARES MOREIRA, 400;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/124/SITE/LANDING-PAGE/CHECKOUT/15505/0"
"BA;SALVADOR;CAMINHO DAS ÁRVORES;ALAMEDA DAS CAJAZEIRAS, 59;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/262/SITE/LANDING-PAGE/CHECKOUT/15570/0"
"PB;CAMPINA GRANDE;CAMPINA GRANDE; RUA DR. SEVERINO CRUZ, 771;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/130/SITE/LANDING-PAGE/CHECKOUT/15510/0"
"SP;SOROCABA;CAMPOLIM; RUA MARIA APARECIDA PESSITTI MILEGO, 250;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/146/SITE/LANDING-PAGE/CHECKOUT/15523/0"
"SP;CARAPICUÍBA;CARAPICUÍBA; AV. DES. EDUARDO DE ABREU, 1455;HTTPS://ADMIN.SELFITACADEMIAS.COM.BR/SELFIT/149/SITE/LANDING-PAGE/CHECKOUT/15525/0"
"SP;JUNDIAÍ;CARREFOUR JUNDIAÍ; AV. PROFA. MARIA DO CARMO GUIMARAES;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/162/SITE/LANDING-PAGE/CHECKOUT/15530/0"
"PE;RECIFE;CARUARU; AV. OSWALDO CRUZ, 217;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/109/SITE/LANDING-PAGE/CHECKOUT/15491/0"
"PE;RECIFE;CASA AMARELA;R. DESEMBARGADOR GOIS CAVALCANTE, 12;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/261/SITE/LANDING-PAGE/CHECKOUT/15569/0"
"PE;OLINDA;CASA CAIADA;AV GOV.CRALOS DE LIMA CAVALCANTE,1306;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/270/SITE/LANDING-PAGE/CHECKOUT/15578/0"
"MG;BELO HORIZONTE;CIDADE JARDIM; RUA IRAÍ, 235;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/138/SITE/LANDING-PAGE/CHECKOUT/15517/0"
"SP;SÃO JOSÉ DOS CAMPOS;COLINAS; AV. JORGE ZARUR, 100;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/140/SITE/LANDING-PAGE/CHECKOUT/15518/0"
"RJ;RIO DE JANEIRO;CONDE DE BONFIM; RUA CONDE DE BONFIM, 186;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/201/SITE/I%5BPLUS%5D0QGEAYTUJIOBPWXVZNGA%5BEQUAL%5D%5BEQUAL%5D"
"BA;SALVADOR;COSTA AZUL; RUA ADELAIDE FERNANDES DA COSTA, 903;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/117/SITE/Y1CE2URCFQFUU9VS0QFVPW%5BEQUAL%5D%5BEQUAL%5D"
